sample,time_s,raw_u16,code12,voltage_V
332,0.166012000,16692,1043,0.840522
333,0.166511000,12403,775,0.624550
334,0.167011000,20180,1261,1.016159
335,0.167510000,35608,2225,1.793033
336,0.168010000,49596,3099,2.497395
337,0.168510000,53965,3372,2.717395
338,0.169009000,46155,2884,2.324124
339,0.169509000,30855,1928,1.553696
340,0.170008000,16836,1052,0.847773
341,0.170508000,12403,775,0.624550
342,0.171008000,20132,1258,1.013742
343,0.171514000,35704,2231,1.797867
344,0.172014000,49644,3102,2.499812
345,0.172514000,53901,3368,2.714173
346,0.173013000,46043,2877,2.318485
347,0.173512000,30615,1913,1.541611
348,0.174012000,16724,1045,0.842133
349,0.174512000,12371,773,0.622939
350,0.175013000,20212,1263,1.017771
351,0.175512000,35624,2226,1.793838
352,0.176013000,49548,3096,2.494978
353,0.176513000,53821,3363,2.710144
354,0.177013000,46107,2881,2.321708
355,0.177513000,30679,1917,1.544834
356,0.178013000,16708,1044,0.841328
357,0.178512000,12371,773,0.622939
358,0.179012000,20180,1261,1.016159
359,0.179512000,35560,2222,1.790616
360,0.180011000,49548,3096,2.494978
361,0.180511000,53981,3373,2.718201
362,0.181011000,46139,2883,2.323319
363,0.181510000,30823,1926,1.552085
364,0.182011000,16772,1048,0.844550
365,0.182510000,12403,775,0.624550
366,0.183010000,20148,1259,1.014548
367,0.183510000,35512,2219,1.788199
368,0.184010000,49500,3093,2.492561
369,0.184510000,53949,3371,2.716590
370,0.185010000,46171,2885,2.324930
371,0.185509000,30807,1925,1.551279
372,0.186009000,16772,1048,0.844550
373,0.186509000,12355,772,0.622133
374,0.187008000,20100,1256,1.012131
375,0.187514000,35704,2231,1.797867
376,0.188014000,49564,3097,2.495784
377,0.188513000,53869,3366,2.712561
378,0.189013000,46059,2878,2.319290
379,0.189513000,30599,1912,1.540806
380,0.190013000,16676,1042,0.839716
381,0.190512000,12403,775,0.624550
382,0.191012000,20148,1259,1.014548
383,0.191511000,35608,2225,1.793033
384,0.192011000,49612,3100,2.498201
385,0.192511000,53933,3370,2.715784
386,0.193011000,46123,2882,2.322513
387,0.193511000,30759,1922,1.548862
388,0.194011000,16772,1048,0.844550
389,0.194510000,12419,776,0.625356
390,0.195010000,20180,1261,1.016159
391,0.195510000,35592,2224,1.792227
392,0.196009000,49580,3098,2.496590
393,0.196509000,53917,3369,2.714978
394,0.197009000,46235,2889,2.328153
395,0.197509000,30855,1928,1.553696
396,0.198008000,16836,1052,0.847773
397,0.198508000,12403,775,0.624550
398,0.199014000,20212,1263,1.017771
399,0.199514000,35736,2233,1.799478
400,0.200014000,49612,3100,2.498201
401,0.200514000,53885,3367,2.713367
402,0.201013000,46075,2879,2.320096
403,0.201513000,30583,1911,1.540000
404,0.202013000,16708,1044,0.841328
405,0.202513000,12419,776,0.625356
406,0.203012000,20148,1259,1.014548
407,0.203513000,35624,2226,1.793838
408,0.204012000,49548,3096,2.494978
409,0.204512000,53885,3367,2.713367
